"ICD-10-PCS" "ICD-10-PCS-label" "ICD-10-PCS-category" "Classification"
"031509D" "Bypass R Axilla Art to Up Arm Vein w Autol Vn, Open" "Peripheral vascular bypass" "DIALY2P"
"03170ZV" "Bypass Right Brachial Artery to Sup Vena Cava, Open Approach" "Peripheral vascular bypass" "DIALY2P"
"031509F" "Bypass R Axilla Art to Low Arm Vein w Autol Vn, Open" "Peripheral vascular bypass" "DIALY2P"
"03170ZW" "Bypass Right Brachial Artery to Low Extrem Vn, Open Approach" "Peripheral vascular bypass" "DIALY2P"
"031509V" "Bypass R Axilla Art to Sup Vena Cava w Autol Vn, Open" "Peripheral vascular bypass" "DIALY2P"
"031809D" "Bypass L Brach Art to Up Arm Vein w Autol Vn, Open" "Peripheral vascular bypass" "DIALY2P"
"031509W" "Bypass R Axilla Art to Low Extrem Vn w Autol Vn, Open" "Peripheral vascular bypass" "DIALY2P"
"031809F" "Bypass L Brach Art to Low Arm Vein w Autol Vn, Open" "Peripheral vascular bypass" "DIALY2P"
"03150AD" "Bypass R Axilla Art to Up Arm Vein w Autol Art, Open" "Peripheral vascular bypass" "DIALY2P"
"031809V" "Bypass L Brach Art to Sup Vena Cava w Autol Vn, Open" "Peripheral vascular bypass" "DIALY2P"
"03150AF" "Bypass R Axilla Art to Low Arm Vein w Autol Art, Open" "Peripheral vascular bypass" "DIALY2P"
"031809W" "Bypass L Brach Art to Low Extrem Vn w Autol Vn, Open" "Peripheral vascular bypass" "DIALY2P"
"03150AV" "Bypass R Axilla Art to Sup Vena Cava w Autol Art, Open" "Peripheral vascular bypass" "DIALY2P"
"03180AD" "Bypass L Brach Art to Up Arm Vein w Autol Art, Open" "Peripheral vascular bypass" "DIALY2P"
"03150AW" "Bypass R Axilla Art to Low Extrem Vn w Autol Art, Open" "Peripheral vascular bypass" "DIALY2P"
"03180AF" "Bypass L Brach Art to Low Arm Vein w Autol Art, Open" "Peripheral vascular bypass" "DIALY2P"
"03150JD" "Bypass R Axilla Art to Up Arm Vein w Synth Sub, Open" "Peripheral vascular bypass" "DIALY2P"
"03180AV" "Bypass L Brach Art to Sup Vena Cava w Autol Art, Open" "Peripheral vascular bypass" "DIALY2P"
"03150JF" "Bypass R Axilla Art to Low Arm Vein w Synth Sub, Open" "Peripheral vascular bypass" "DIALY2P"
"03180AW" "Bypass L Brach Art to Low Extrem Vn w Autol Art, Open" "Peripheral vascular bypass" "DIALY2P"
"03150JV" "Bypass R Axilla Art to Sup Vena Cava w Synth Sub, Open" "Peripheral vascular bypass" "DIALY2P"
"03180JD" "Bypass L Brach Art to Up Arm Vein w Synth Sub, Open" "Peripheral vascular bypass" "DIALY2P"
"03150JW" "Bypass R Axilla Art to Low Extrem Vn w Synth Sub, Open" "Peripheral vascular bypass" "DIALY2P"
"03180JF" "Bypass L Brach Art to Low Arm Vein w Synth Sub, Open" "Peripheral vascular bypass" "DIALY2P"
"03150KD" "Bypass R Axilla Art to Up Arm Vein w Nonaut Sub, Open" "Peripheral vascular bypass" "DIALY2P"
"03180JV" "Bypass L Brach Art to Sup Vena Cava w Synth Sub, Open" "Peripheral vascular bypass" "DIALY2P"
"03150KF" "Bypass R Axilla Art to Low Arm Vein w Nonaut Sub, Open" "Peripheral vascular bypass" "DIALY2P"
"03180JW" "Bypass L Brach Art to Low Extrem Vn w Synth Sub, Open" "Peripheral vascular bypass" "DIALY2P"
"03150KV" "Bypass R Axilla Art to Sup Vena Cava w Nonaut Sub, Open" "Peripheral vascular bypass" "DIALY2P"
"03180KD" "Bypass L Brach Art to Up Arm Vein w Nonaut Sub, Open" "Peripheral vascular bypass" "DIALY2P"
"03150KW" "Bypass R Axilla Art to Low Extrem Vn w Nonaut Sub, Open" "Peripheral vascular bypass" "DIALY2P"
"03180KF" "Bypass L Brach Art to Low Arm Vein w Nonaut Sub, Open" "Peripheral vascular bypass" "DIALY2P"
"03150ZD" "Bypass Right Axillary Artery to Up Arm Vein, Open Approach" "Peripheral vascular bypass" "DIALY2P"
"03180KV" "Bypass L Brach Art to Sup Vena Cava w Nonaut Sub, Open" "Peripheral vascular bypass" "DIALY2P"
"03150ZF" "Bypass Right Axillary Artery to Low Arm Vein, Open Approach" "Peripheral vascular bypass" "DIALY2P"
"03180KW" "Bypass L Brach Art to Low Extrem Vn w Nonaut Sub, Open" "Peripheral vascular bypass" "DIALY2P"
"03150ZV" "Bypass Right Axillary Artery to Sup Vena Cava, Open Approach" "Peripheral vascular bypass" "DIALY2P"
"03180ZD" "Bypass Left Brachial Artery to Upper Arm Vein, Open Approach" "Peripheral vascular bypass" "DIALY2P"
"03150ZW" "Bypass Right Axillary Artery to Low Extrem Vn, Open Approach" "Peripheral vascular bypass" "DIALY2P"
"03180ZF" "Bypass Left Brachial Artery to Lower Arm Vein, Open Approach" "Peripheral vascular bypass" "DIALY2P"
"031609D" "Bypass L Axilla Art to Up Arm Vein w Autol Vn, Open" "Peripheral vascular bypass" "DIALY2P"
"03180ZV" "Bypass Left Brachial Artery to Sup Vena Cava, Open Approach" "Peripheral vascular bypass" "DIALY2P"
"031609F" "Bypass L Axilla Art to Low Arm Vein w Autol Vn, Open" "Peripheral vascular bypass" "DIALY2P"
"03180ZW" "Bypass Left Brachial Artery to Low Extrem Vn, Open Approach" "Peripheral vascular bypass" "DIALY2P"
"031609V" "Bypass L Axilla Art to Sup Vena Cava w Autol Vn, Open" "Peripheral vascular bypass" "DIALY2P"
"031909F" "Bypass R Ulnar Art to Low Arm Vein w Autol Vn, Open" "Peripheral vascular bypass" "DIALY2P"
"031609W" "Bypass L Axilla Art to Low Extrem Vn w Autol Vn, Open" "Peripheral vascular bypass" "DIALY2P"
"03190AF" "Bypass R Ulnar Art to Low Arm Vein w Autol Art, Open" "Peripheral vascular bypass" "DIALY2P"
"03160AD" "Bypass L Axilla Art to Up Arm Vein w Autol Art, Open" "Peripheral vascular bypass" "DIALY2P"
"03190JF" "Bypass R Ulnar Art to Low Arm Vein w Synth Sub, Open" "Peripheral vascular bypass" "DIALY2P"
"03160AF" "Bypass L Axilla Art to Low Arm Vein w Autol Art, Open" "Peripheral vascular bypass" "DIALY2P"
"03190KF" "Bypass R Ulnar Art to Low Arm Vein w Nonaut Sub, Open" "Peripheral vascular bypass" "DIALY2P"
